title,area,rating,n_reviews,reference
Radisson Sonya Hotel 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.52,18,https://tophotels.ru/hotel/al58958/reviews
Комфорт на Чехова (закрыт) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.49,18,https://tophotels.ru/hotel/al21965/reviews
Courtyard by Marriott St. Petersburg Pushkin 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.49,14,https://tophotels.ru/hotel/al66731/reviews
Бизнес-отель «Бельведер-Невский» 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.07,18,https://tophotels.ru/hotel/al24040/reviews
Гайот (Guyot) 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.0,16,https://tophotels.ru/hotel/al39748/reviews
Алекс Отель на Марата,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.91,16,https://tophotels.ru/hotel/al54516/reviews
Hostel Spirit House,"Россия, Санкт-Петербургский регион, Санкт-Петербург",2.33,13,https://tophotels.ru/hotel/al174009/reviews
Online Hostel 2*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,14,https://tophotels.ru/hotel/al274141/reviews
Red Stars Hotel 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.94,13,https://tophotels.ru/hotel/al70577/reviews
Crowne Plaza St. Petersburg Ligovsky 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.81,13,https://tophotels.ru/hotel/al80934/reviews
Спутник 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.48,19,https://tophotels.ru/hotel/al35015/reviews
Санаторий Белые ночи,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.22,18,https://tophotels.ru/hotel/al82542/reviews
Courtyard St.Petersburg Vasilievsky 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.18,16,https://tophotels.ru/hotel/al39747/reviews
Polo Regatta Hotel 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.69,27,https://tophotels.ru/hotel/al57477/reviews
Гостиница Репинская,"Россия, Санкт-Петербургский регион, Санкт-Петербург, Репино",3.39,30,https://tophotels.ru/hotel/al51794/reviews
Ангел,"Россия, Санкт-Петербургский регион, Санкт-Петербург",0.0,10,https://tophotels.ru/hotel/al225534/reviews
