title,area,rating,n_reviews,reference
Светлана,"Россия, Краснодарский край, Сочи",3.67,6,https://tophotels.ru/hotel/al274940/reviews
Golden House Hotel (Золотой Дом) 3*,"Россия, Краснодарский край, Сочи",3.25,8,https://tophotels.ru/hotel/al178746/reviews
Нева Интернейшенел,"Россия, Краснодарский край, Сочи",2.58,18,https://tophotels.ru/hotel/al35429/reviews
Green Hosta 3*,"Россия, Краснодарский край, Сочи",4.5,3,https://tophotels.ru/hotel/al69186/reviews
Виктор,"Россия, Краснодарский край, Сочи",4.44,4,https://tophotels.ru/hotel/al100557/reviews
Империя,"Россия, Краснодарский край, Сочи",4.44,5,https://tophotels.ru/hotel/al45537/reviews
Искра,"Россия, Краснодарский край, Сочи, Хоста",4.13,5,https://tophotels.ru/hotel/al68283/reviews
Бирюза 2*,"Россия, Краснодарский край, Сочи",3.67,10,https://tophotels.ru/hotel/al35405/reviews
У Заполярья,"Россия, Краснодарский край, Сочи",3.22,6,https://tophotels.ru/hotel/al147048/reviews
Бридж Хаус (Bridge House),"Россия, Краснодарский край, Сочи",5.0,3,https://tophotels.ru/hotel/al290524/reviews
Вилла Бельведер,"Россия, Краснодарский край, Сочи",5.0,4,https://tophotels.ru/hotel/al107457/reviews
Аист 2*,"Россия, Краснодарский край, Сочи, Кудепста",4.78,5,https://tophotels.ru/hotel/al261098/reviews
Цветной 5 3*,"Россия, Краснодарский край, Сочи",4.75,3,https://tophotels.ru/hotel/al313787/reviews
Rest-Matsesta 3*,"Россия, Краснодарский край, Сочи",4.72,3,https://tophotels.ru/hotel/al129044/reviews
COOCOOROOZA 2*,"Россия, Краснодарский край, Сочи",4.67,2,https://tophotels.ru/hotel/al317678/reviews
Marina Yacht,"Россия, Краснодарский край, Сочи",4.58,3,https://tophotels.ru/hotel/al314350/reviews
Аледо,"Россия, Краснодарский край, Сочи",4.0,4,https://tophotels.ru/hotel/al67266/reviews
Bellagio (Белладжио) 3*,"Россия, Краснодарский край, Сочи",3.67,4,https://tophotels.ru/hotel/al274936/reviews
Мирит 3*,"Россия, Краснодарский край, Сочи",3.58,5,https://tophotels.ru/hotel/al33832/reviews
Беларусь,"Россия, Краснодарский край, Сочи",3.29,6,https://tophotels.ru/hotel/al44217/reviews
Илона Центр,"Россия, Краснодарский край, Сочи",2.33,4,https://tophotels.ru/hotel/al314792/reviews
Жемчуг,"Россия, Краснодарский край, Сочи",0.0,3,https://tophotels.ru/hotel/al159768/reviews
Razin (Разин),"Россия, Краснодарский край, Сочи",5.0,1,https://tophotels.ru/hotel/al274932/reviews
Векар,"Россия, Краснодарский край, Сочи",5.0,2,https://tophotels.ru/hotel/al311290/reviews
Гостиница Хоста,"Россия, Краснодарский край, Сочи, Хоста",5.0,2,https://tophotels.ru/hotel/al309016/reviews
Хоста,"Россия, Краснодарский край, Сочи",5.0,2,https://tophotels.ru/hotel/al298262/reviews
Эстет 3*,"Россия, Краснодарский край, Сочи",5.0,2,https://tophotels.ru/hotel/al311867/reviews
